"*The expenditure data in this dashboard is based on General Fund Expenditure data for:
- Years 2013-14 through 2016-17 Actuals
01 - GENERAL FUND,RESTRICTED,4124 - T IV 21ST CENTURY COM LEARNING,Central & Support for Schools,922 - Comm. Schools & Student Servic,7310 - INTERPROGRAM SUPPORT/COSTS,"$221,551 ","$118,962 ",$0 ,"$102,589.41 "
01 - GENERAL FUND,RESTRICTED,5640 - MEDI-CAL BILLING OPTION,Central & Support for Schools,922 - Comm. Schools & Student Servic,2305 - SUPV&ADM SALARIES,"$136,771 ","$108,026 ","$22,996 ","$5,748.69 "
01 - GENERAL FUND,RESTRICTED,5640 - MEDI-CAL BILLING OPTION,Central & Support for Schools,922 - Comm. Schools & Student Servic,3202 - PERS CLASSIFIED,"$21,199 ","$16,753 ","$3,571 ",$874.66 
01 - GENERAL FUND,RESTRICTED,5640 - MEDI-CAL BILLING OPTION,Central & Support for Schools,922 - Comm. Schools & Student Servic,"3302 - SOCSEC,MEDI,ALTSS CLASSIFIED","$8,480 ","$6,698 ","$1,426 ",$356.45 
01 - GENERAL FUND,RESTRICTED,5640 - MEDI-CAL BILLING OPTION,Central & Support for Schools,922 - Comm. Schools & Student Servic,3322 - MEDICARE CLASSIFIED,"$1,983 ","$1,566 ",$333 ,$83.38 
01 - GENERAL FUND,RESTRICTED,5640 - MEDI-CAL BILLING OPTION,Central & Support for Schools,922 - Comm. Schools & Student Servic,3402 - HEALTH & WELFARE CLASSIFIED,"$21,442 ","$12,616 ","$2,294 ","$6,531.16 "
01 - GENERAL FUND,RESTRICTED,5640 - MEDI-CAL BILLING OPTION,Central & Support for Schools,922 - Comm. Schools & Student Servic,3502 - ST UNEMPLOY INS CLASSIFIED,$146 ,$115 ,$25 ,$6.26 
01 - GENERAL FUND,RESTRICTED,5640 - MEDI-CAL BILLING OPTION,Central & Support for Schools,922 - Comm. Schools & Student Servic,3602 - WORKERS COMP CLASSIFIED,"$8,548 ","$6,482 ","$1,380 ",$686.88 
01 - GENERAL FUND,RESTRICTED,5640 - MEDI-CAL BILLING OPTION,Central & Support for Schools,922 - Comm. Schools & Student Servic,3902 - OTHER BENEFITS CLASSIFIED,$63 ,$672 ,$15 ,($624.62)
01 - GENERAL FUND,RESTRICTED,5640 - MEDI-CAL BILLING OPTION,Central & Support for Schools,922 - Comm. Schools & Student Servic,5825 - CONSULTANTS,"$260,000 ","$65,750 ","$194,250 ",$0.00 
01 - GENERAL FUND,RESTRICTED,5640 - MEDI-CAL BILLING OPTION,Central & Support for Schools,922 - Comm. Schools & Student Servic,7310 - INTERPROGRAM SUPPORT/COSTS,"$25,638 ",$0 ,$0 ,"$25,637.52 "
01 - GENERAL FUND,RESTRICTED,5841 - CDC HIV & STD PREVEN.,Central & Support for Schools,922 - Comm. Schools & Student Servic,1120 - TEACHERS SALARIES STIPENDS,"$40,000 ","$1,275 ",$0 ,"$38,725.00 "
01 - GENERAL FUND,RESTRICTED,5841 - CDC HIV & STD PREVEN.,Central & Support for Schools,922 - Comm. Schools & Student Servic,1150 - TEACHERS SUBSTITUTES,"$11,000 ","$7,852 ",$0 ,"$3,148.08 "
01 - GENERAL FUND,RESTRICTED,5841 - CDC HIV & STD PREVEN.,Central & Support for Schools,922 - Comm. Schools & Student Servic,2205 - CLASSSUPPT SALARIES,"$11,490 ","$9,575 ","$1,915 ",($0.08)
01 - GENERAL FUND,RESTRICTED,5841 - CDC HIV & STD PREVEN.,Central & Support for Schools,922 - Comm. Schools & Student Servic,2305 - SUPV&ADM SALARIES,"$102,458 ","$86,007 ","$16,702 ",($250.33)
01 - GENERAL FUND,RESTRICTED,5841 - CDC HIV & STD PREVEN.,Central & Support for Schools,922 - Comm. Schools & Student Servic,3101 - STRS CERTIFICATED,$0 ,$999 ,$0 ,($998.76)
01 - GENERAL FUND,RESTRICTED,5841 - CDC HIV & STD PREVEN.,Central & Support for Schools,922 - Comm. Schools & Student Servic,3202 - PERS CLASSIFIED,"$17,348 ","$14,456 ","$2,891 ",($0.06)
01 - GENERAL FUND,RESTRICTED,5841 - CDC HIV & STD PREVEN.,Central & Support for Schools,922 - Comm. Schools & Student Servic,"3301 - SOCSEC,MEDI,ALTSS CERTIFICATED",$0 ,$37 ,$0 ,($37.45)
01 - GENERAL FUND,RESTRICTED,5841 - CDC HIV & STD PREVEN.,Central & Support for Schools,922 - Comm. Schools & Student Servic,"3302 - SOCSEC,MEDI,ALTSS CLASSIFIED","$6,832 ","$5,667 ","$1,154 ",$10.32 
01 - GENERAL FUND,RESTRICTED,5841 - CDC HIV & STD PREVEN.,Central & Support for Schools,922 - Comm. Schools & Student Servic,3321 - MEDICARE CERTIFICATED,$0 ,$130 ,$0 ,($129.81)
01 - GENERAL FUND,RESTRICTED,5841 - CDC HIV & STD PREVEN.,Central & Support for Schools,922 - Comm. Schools & Student Servic,3322 - MEDICARE CLASSIFIED,"$1,598 ","$1,325 ",$270 ,$2.42 
01 - GENERAL FUND,RESTRICTED,5841 - CDC HIV & STD PREVEN.,Central & Support for Schools,922 - Comm. Schools & Student Servic,3341 - PARS CERTIFICATED,$0 ,$5 ,$0 ,($5.22)
01 - GENERAL FUND,RESTRICTED,5841 - CDC HIV & STD PREVEN.,Central & Support for Schools,922 - Comm. Schools & Student Servic,3402 - HEALTH & WELFARE CLASSIFIED,"$2,587 ","$1,514 ",$822 ,$249.99 
01 - GENERAL FUND,RESTRICTED,5841 - CDC HIV & STD PREVEN.,Central & Support for Schools,922 - Comm. Schools & Student Servic,3501 - ST UNEMPLOY INS CERTIFICATED,$0 ,$10 ,$0 ,($9.74)
01 - GENERAL FUND,RESTRICTED,5841 - CDC HIV & STD PREVEN.,Central & Support for Schools,922 - Comm. Schools & Student Servic,3502 - ST UNEMPLOY INS CLASSIFIED,$122 ,$102 ,$20 ,($0.26)
01 - GENERAL FUND,RESTRICTED,5841 - CDC HIV & STD PREVEN.,Central & Support for Schools,922 - Comm. Schools & Student Servic,3601 - WORKERS COMP CERTIFICATED,$0 ,$548 ,$0 ,($547.65)
01 - GENERAL FUND,RESTRICTED,5841 - CDC HIV & STD PREVEN.,Central & Support for Schools,922 - Comm. Schools & Student Servic,3602 - WORKERS COMP CLASSIFIED,"$6,837 ","$5,735 ","$1,117 ",($15.02)
01 - GENERAL FUND,RESTRICTED,5841 - CDC HIV & STD PREVEN.,Central & Support for Schools,922 - Comm. Schools & Student Servic,3902 - OTHER BENEFITS CLASSIFIED,$444 ,$471 ,$14 ,($40.03)
01 - GENERAL FUND,RESTRICTED,5841 - CDC HIV & STD PREVEN.,Central & Support for Schools,922 - Comm. Schools & Student Servic,4200 - BOOKS-OTHER THAN TEXTBOOKS,"$30,000 ","$21,468 ","$8,009 ",$523.59 
01 - GENERAL FUND,RESTRICTED,5841 - CDC HIV & STD PREVEN.,Central & Support for Schools,922 - Comm. Schools & Student Servic,4310 - SUPPLIES,"$17,606 ","$8,665 ","$6,093 ","$2,847.60 "
01 - GENERAL FUND,RESTRICTED,5841 - CDC HIV & STD PREVEN.,Central & Support for Schools,922 - Comm. Schools & Student Servic,4399 - SURPLUS,"$25,159 ",$0 ,$0 ,"$25,159.41 "
01 - GENERAL FUND,RESTRICTED,5841 - CDC HIV & STD PREVEN.,Central & Support for Schools,922 - Comm. Schools & Student Servic,5210 - MILEAGE/PERSONAL EXP REIMB,"$1,000 ",$252 ,$248 ,$500.00 
01 - GENERAL FUND,RESTRICTED,5841 - CDC HIV & STD PREVEN.,Central & Support for Schools,922 - Comm. Schools & Student Servic,5220 - CONFERENCE  EXPENSE,$500 ,$224 ,$19 ,$257.22 
01 - GENERAL FUND,RESTRICTED,5841 - CDC HIV & STD PREVEN.,Central & Support for Schools,922 - Comm. Schools & Student Servic,5300 - DUES & MEMBERSHIPS,$350 ,$0 ,$0 ,$350.00 
01 - GENERAL FUND,RESTRICTED,5841 - CDC HIV & STD PREVEN.,Central & Support for Schools,922 - Comm. Schools & Student Servic,5825 - CONSULTANTS,"$89,500 ","$67,960 ","$21,540 ",$0.00 
01 - GENERAL FUND,RESTRICTED,5841 - CDC HIV & STD PREVEN.,Central & Support for Schools,922 - Comm. Schools & Student Servic,7310 - INTERPROGRAM SUPPORT/COSTS,"$20,394 ","$11,175 ",$0 ,"$9,219.19 "
01 - GENERAL FUND,RESTRICTED,5848 - FullSvc Community Schools,Central & Support for Schools,922 - Comm. Schools & Student Servic,1120 - TEACHERS SALARIES STIPENDS,"$8,300 ","$4,245 ",$0 ,"$4,054.55 "
01 - GENERAL FUND,RESTRICTED,5848 - FullSvc Community Schools,Central & Support for Schools,922 - Comm. Schools & Student Servic,1205 - PUPILSUPPT SALARIES,"$22,649 ","$3,990 ",$0 ,"$18,658.52 "
01 - GENERAL FUND,RESTRICTED,5848 - FullSvc Community Schools,Central & Support for Schools,922 - Comm. Schools & Student Servic,2205 - CLASSSUPPT SALARIES,$0 ,"$10,851 ",$0 ,"($10,851.44)"
01 - GENERAL FUND,RESTRICTED,5848 - FullSvc Community Schools,Central & Support for Schools,922 - Comm. Schools & Student Servic,2220 - CLASSSUPPT SALARIES STIPENDS,"$1,000 ",$0 ,$0 ,"$1,000.00 "
01 - GENERAL FUND,RESTRICTED,5848 - FullSvc Community Schools,Central & Support for Schools,922 - Comm. Schools & Student Servic,2225 - CLASSSUPPT SALARIES OVERTIME,$0 ,$645 ,$0 ,($644.61)
01 - GENERAL FUND,RESTRICTED,5848 - FullSvc Community Schools,Central & Support for Schools,922 - Comm. Schools & Student Servic,2305 - SUPV&ADM SALARIES,"$106,885 ","$89,071 ","$17,815 ",($0.33)
01 - GENERAL FUND,RESTRICTED,5848 - FullSvc Community Schools,Central & Support for Schools,922 - Comm. Schools & Student Servic,2405 - CLERICAL SALARIES,"$96,963 ","$62,048 ","$24,254 ","$10,661.02 "
01 - GENERAL FUND,RESTRICTED,5848 - FullSvc Community Schools,Central & Support for Schools,922 - Comm. Schools & Student Servic,2420 - CLERICAL SALARIES STIPENDS,$400 ,$319 ,$0 ,$80.68 
01 - GENERAL FUND,RESTRICTED,5848 - FullSvc Community Schools,Central & Support for Schools,922 - Comm. Schools & Student Servic,2905 - OTHERCLASS SALARIES,$0 ,$55 ,$0 ,($54.91)
01 - GENERAL FUND,RESTRICTED,5848 - FullSvc Community Schools,Central & Support for Schools,922 - Comm. Schools & Student Servic,3101 - STRS CERTIFICATED,"$8,051 ","$1,141 ",$0 ,"$6,910.52 "
01 - GENERAL FUND,RESTRICTED,5848 - FullSvc Community Schools,Central & Support for Schools,922 - Comm. Schools & Student Servic,3102 - STRS CLASSIFIED,$0 ,"$5,812 ","$1,955 ","($7,767.83)"
01 - GENERAL FUND,RESTRICTED,5848 - FullSvc Community Schools,Central & Support for Schools,922 - Comm. Schools & Student Servic,3202 - PERS CLASSIFIED,"$19,945 ","$18,968 ","$4,429 ","($3,452.01)"
01 - GENERAL FUND,RESTRICTED,5848 - FullSvc Community Schools,Central & Support for Schools,922 - Comm. Schools & Student Servic,"3302 - SOCSEC,MEDI,ALTSS CLASSIFIED","$7,985 ","$7,570 ","$1,768 ","($1,353.45)"
01 - GENERAL FUND,RESTRICTED,5848 - FullSvc Community Schools,Central & Support for Schools,922 - Comm. Schools & Student Servic,3321 - MEDICARE CERTIFICATED,$928 ,$119 ,$0 ,$808.58 
01 - GENERAL FUND,RESTRICTED,5848 - FullSvc Community Schools,Central & Support for Schools,922 - Comm. Schools & Student Servic,3322 - MEDICARE CLASSIFIED,"$2,707 ","$2,359 ",$610 ,($261.48)
01 - GENERAL FUND,RESTRICTED,5848 - FullSvc Community Schools,Central & Support for Schools,922 - Comm. Schools & Student Servic,3342 - PARS CLASSIFIED,$0 ,$9 ,$0 ,($8.86)
01 - GENERAL FUND,RESTRICTED,5848 - FullSvc Community Schools,Central & Support for Schools,922 - Comm. Schools & Student Servic,3401 - HEALTH & WELFARE CERTIFICATED,"$15,028 ","$2,054 ",$0 ,"$12,974.02 "
01 - GENERAL FUND,RESTRICTED,5848 - FullSvc Community Schools,Central & Support for Schools,922 - Comm. Schools & Student Servic,3402 - HEALTH & WELFARE CLASSIFIED,"$36,476 ","$36,031 ","$8,998 ","($8,553.88)"
01 - GENERAL FUND,RESTRICTED,5848 - FullSvc Community Schools,Central & Support for Schools,922 - Comm. Schools & Student Servic,3501 - ST UNEMPLOY INS CERTIFICATED,$68 ,$9 ,$0 ,$59.69 
01 - GENERAL FUND,RESTRICTED,5848 - FullSvc Community Schools,Central & Support for Schools,922 - Comm. Schools & Student Servic,3502 - ST UNEMPLOY INS CLASSIFIED,$226 ,$174 ,$45 ,$6.84 
01 - GENERAL FUND,RESTRICTED,5848 - FullSvc Community Schools,Central & Support for Schools,922 - Comm. Schools & Student Servic,3601 - WORKERS COMP CERTIFICATED,"$4,000 ",$494 ,$0 ,"$3,505.79 "
01 - GENERAL FUND,RESTRICTED,5848 - FullSvc Community Schools,Central & Support for Schools,922 - Comm. Schools & Student Servic,3602 - WORKERS COMP CLASSIFIED,"$11,459 ","$9,779 ","$2,524 ",($844.61)
01 - GENERAL FUND,RESTRICTED,5848 - FullSvc Community Schools,Central & Support for Schools,922 - Comm. Schools & Student Servic,3901 - OTHER BENEFITS CERTIFICATED,$17 ,$8 ,$0 ,$9.46 
01 - GENERAL FUND,RESTRICTED,5848 - FullSvc Community Schools,Central & Support for Schools,922 - Comm. Schools & Student Servic,3902 - OTHER BENEFITS CLASSIFIED,$156 ,$578 ,$35 ,($456.53)
01 - GENERAL FUND,RESTRICTED,5848 - FullSvc Community Schools,Central & Support for Schools,922 - Comm. Schools & Student Servic,4310 - SUPPLIES,"$8,705 ","$2,789 ","$2,174 ","$3,742.09 "
01 - GENERAL FUND,RESTRICTED,5848 - FullSvc Community Schools,Central & Support for Schools,922 - Comm. Schools & Student Servic,4311 - MEETING REFRESHMENTS,"$2,500 ",$126 ,$374 ,"$2,000.00 "
01 - GENERAL FUND,RESTRICTED,5848 - FullSvc Community Schools,Central & Support for Schools,922 - Comm. Schools & Student Servic,4391 - CARRYOVER - PRIOR YEAR,"$81,625 ",$0 ,$0 ,"$81,625.01 "
01 - GENERAL FUND,RESTRICTED,5848 - FullSvc Community Schools,Central & Support for Schools,922 - Comm. Schools & Student Servic,4399 - SURPLUS,$60 ,$0 ,$0 ,$60.04 
01 - GENERAL FUND,RESTRICTED,5848 - FullSvc Community Schools,Central & Support for Schools,922 - Comm. Schools & Student Servic,"4420 - COMPUTER < $5,000","$1,500 ",$0 ,$0 ,"$1,500.00 "
01 - GENERAL FUND,RESTRICTED,5848 - FullSvc Community Schools,Central & Support for Schools,922 - Comm. Schools & Student Servic,5210 - MILEAGE/PERSONAL EXP REIMB,"$1,176 ",$0 ,$0 ,"$1,176.06 "
01 - GENERAL FUND,RESTRICTED,5848 - FullSvc Community Schools,Central & Support for Schools,922 - Comm. Schools & Student Servic,5220 - CONFERENCE  EXPENSE,"$16,500 ","$9,314 ","$3,588 ","$3,597.90 "
01 - GENERAL FUND,RESTRICTED,5848 - FullSvc Community Schools,Central & Support for Schools,922 - Comm. Schools & Student Servic,5825 - CONSULTANTS,"$334,500 ","$201,806 ","$108,076 ","$24,618.00 "
01 - GENERAL FUND,RESTRICTED,5848 - FullSvc Community Schools,Central & Support for Schools,922 - Comm. Schools & Student Servic,5826 - EXTERNAL WORK ORDER SERVICES,"$1,078 ","$1,078 ",$0 ,$0.00 
01 - GENERAL FUND,RESTRICTED,5848 - FullSvc Community Schools,Central & Support for Schools,922 - Comm. Schools & Student Servic,7310 - INTERPROGRAM SUPPORT/COSTS,"$44,211 ","$22,099 ",$0 ,"$22,111.48 "
01 - GENERAL FUND,RESTRICTED,5849 - Fed'l ProjectPrevention,Central & Support for Schools,922 - Comm. Schools & Student Servic,1120 - TEACHERS SALARIES STIPENDS,"$21,046 ",$0 ,$0 ,"$21,046.14 "
01 - GENERAL FUND,RESTRICTED,5849 - Fed'l ProjectPrevention,Central & Support for Schools,922 - Comm. Schools & Student Servic,1150 - TEACHERS SUBSTITUTES,"$4,504 ","$5,491 ",$0 ,($986.71)
01 - GENERAL FUND,RESTRICTED,5849 - Fed'l ProjectPrevention,Central & Support for Schools,922 - Comm. Schools & Student Servic,2205 - CLASSSUPPT SALARIES,"$122,478 ","$109,844 ","$25,295 ","($12,660.64)"
01 - GENERAL FUND,RESTRICTED,5849 - Fed'l ProjectPrevention,Central & Support for Schools,922 - Comm. Schools & Student Servic,2305 - SUPV&ADM SALARIES,"$118,357 ","$98,631 ","$19,727 ",($0.37)
01 - GENERAL FUND,RESTRICTED,5849 - Fed'l ProjectPrevention,Central & Support for Schools,922 - Comm. Schools & Student Servic,3101 - STRS CERTIFICATED,$0 ,$463 ,$0 ,($462.83)
01 - GENERAL FUND,RESTRICTED,5849 - Fed'l ProjectPrevention,Central & Support for Schools,922 - Comm. Schools & Student Servic,3102 - STRS CLASSIFIED,"$17,674 ","$15,133 ","$3,650 ","($1,109.87)"
01 - GENERAL FUND,RESTRICTED,5849 - Fed'l ProjectPrevention,Central & Support for Schools,922 - Comm. Schools & Student Servic,3202 - PERS CLASSIFIED,"$18,345 ","$15,186 ","$3,064 ",$95.37 
01 - GENERAL FUND,RESTRICTED,5849 - Fed'l ProjectPrevention,Central & Support for Schools,922 - Comm. Schools & Student Servic,"3301 - SOCSEC,MEDI,ALTSS CERTIFICATED",$0 ,$42 ,$0 ,($42.43)
01 - GENERAL FUND,RESTRICTED,5849 - Fed'l ProjectPrevention,Central & Support for Schools,922 - Comm. Schools & Student Servic,"3302 - SOCSEC,MEDI,ALTSS CLASSIFIED","$7,338 ","$6,115 ","$1,223 ",($0.04)
01 - GENERAL FUND,RESTRICTED,5849 - Fed'l ProjectPrevention,Central & Support for Schools,922 - Comm. Schools & Student Servic,3321 - MEDICARE CERTIFICATED,$0 ,$80 ,$0 ,($79.68)
01 - GENERAL FUND,RESTRICTED,5849 - Fed'l ProjectPrevention,Central & Support for Schools,922 - Comm. Schools & Student Servic,3322 - MEDICARE CLASSIFIED,"$3,492 ","$3,023 ",$653 ,($183.58)
01 - GENERAL FUND,RESTRICTED,5849 - Fed'l ProjectPrevention,Central & Support for Schools,922 - Comm. Schools & Student Servic,3342 - PARS CLASSIFIED,$900 ,$0 ,$451 ,$448.90 
01 - GENERAL FUND,RESTRICTED,5849 - Fed'l ProjectPrevention,Central & Support for Schools,922 - Comm. Schools & Student Servic,3402 - HEALTH & WELFARE CLASSIFIED,"$41,218 ","$33,871 ","$7,348 ",$0.01 
01 - GENERAL FUND,RESTRICTED,5849 - Fed'l ProjectPrevention,Central & Support for Schools,922 - Comm. Schools & Student Servic,3501 - ST UNEMPLOY INS CERTIFICATED,$0 ,$6 ,$0 ,($5.92)
01 - GENERAL FUND,RESTRICTED,5849 - Fed'l ProjectPrevention,Central & Support for Schools,922 - Comm. Schools & Student Servic,3502 - ST UNEMPLOY INS CLASSIFIED,$258 ,$223 ,$48 ,($13.37)
01 - GENERAL FUND,RESTRICTED,5849 - Fed'l ProjectPrevention,Central & Support for Schools,922 - Comm. Schools & Student Servic,3601 - WORKERS COMP CERTIFICATED,$0 ,$329 ,$0 ,($329.49)
01 - GENERAL FUND,RESTRICTED,5849 - Fed'l ProjectPrevention,Central & Support for Schools,922 - Comm. Schools & Student Servic,3602 - WORKERS COMP CLASSIFIED,"$15,052 ","$12,508 ","$2,701 ",($157.39)
01 - GENERAL FUND,RESTRICTED,5849 - Fed'l ProjectPrevention,Central & Support for Schools,922 - Comm. Schools & Student Servic,3902 - OTHER BENEFITS CLASSIFIED,$157 ,$657 ,$39 ,($538.92)
01 - GENERAL FUND,RESTRICTED,5849 - Fed'l ProjectPrevention,Central & Support for Schools,922 - Comm. Schools & Student Servic,4310 - SUPPLIES,"$9,789 ","$6,277 ","$3,512 ",$0.00 
01 - GENERAL FUND,RESTRICTED,5849 - Fed'l ProjectPrevention,Central & Support for Schools,922 - Comm. Schools & Student Servic,4311 - MEETING REFRESHMENTS,"$2,150 ","$1,814 ",$186 ,$150.00 
01 - GENERAL FUND,RESTRICTED,5849 - Fed'l ProjectPrevention,Central & Support for Schools,922 - Comm. Schools & Student Servic,4391 - CARRYOVER - PRIOR YEAR,$0 ,$0 ,$0 ,$0.00 
01 - GENERAL FUND,RESTRICTED,5849 - Fed'l ProjectPrevention,Central & Support for Schools,922 - Comm. Schools & Student Servic,4399 - SURPLUS,"$99,850 ",$0 ,$0 ,"$99,850.00 "
01 - GENERAL FUND,RESTRICTED,5849 - Fed'l ProjectPrevention,Central & Support for Schools,922 - Comm. Schools & Student Servic,5220 - CONFERENCE  EXPENSE,"$5,034 ","$1,272 ","$3,763 ",$0.00 
01 - GENERAL FUND,RESTRICTED,5849 - Fed'l ProjectPrevention,Central & Support for Schools,922 - Comm. Schools & Student Servic,5825 - CONSULTANTS,"$354,310 ","$217,479 ","$136,831 ",$0.00 
01 - GENERAL FUND,RESTRICTED,5849 - Fed'l ProjectPrevention,Central & Support for Schools,922 - Comm. Schools & Student Servic,7310 - INTERPROGRAM SUPPORT/COSTS,"$47,065 ","$26,175 ",$0 ,"$20,890.40 "
01 - GENERAL FUND,RESTRICTED,5850 - Fed'l School Climate,Central & Support for Schools,922 - Comm. Schools & Student Servic,1105 - TEACHERS SALARIES,$0 ,$225 ,$0 ,($225.36)
01 - GENERAL FUND,RESTRICTED,5850 - Fed'l School Climate,Central & Support for Schools,922 - Comm. Schools & Student Servic,1120 - TEACHERS SALARIES STIPENDS,"$36,800 ","$14,478 ",$0 ,"$22,322.08 "
01 - GENERAL FUND,RESTRICTED,5850 - Fed'l School Climate,Central & Support for Schools,922 - Comm. Schools & Student Servic,1150 - TEACHERS SUBSTITUTES,"$15,433 ","$11,992 ",$0 ,"$3,440.79 "
01 - GENERAL FUND,RESTRICTED,5850 - Fed'l School Climate,Central & Support for Schools,922 - Comm. Schools & Student Servic,1205 - PUPILSUPPT SALARIES,"$170,087 ","$149,086 ","$29,818 ","($8,817.06)"
01 - GENERAL FUND,RESTRICTED,5850 - Fed'l School Climate,Central & Support for Schools,922 - Comm. Schools & Student Servic,2205 - CLASSSUPPT SALARIES,"$216,019 ","$188,481 ","$38,171 ","($10,633.65)"
01 - GENERAL FUND,RESTRICTED,5850 - Fed'l School Climate,Central & Support for Schools,922 - Comm. Schools & Student Servic,2225 - CLASSSUPPT SALARIES OVERTIME,$915 ,$915 ,$0 ,$0.00 
01 - GENERAL FUND,RESTRICTED,5850 - Fed'l School Climate,Central & Support for Schools,922 - Comm. Schools & Student Servic,2305 - SUPV&ADM SALARIES,"$113,387 ","$111,090 ","$18,898 ","($16,601.79)"
01 - GENERAL FUND,RESTRICTED,5850 - Fed'l School Climate,Central & Support for Schools,922 - Comm. Schools & Student Servic,2405 - CLERICAL SALARIES,"$17,286 ","$14,892 ","$2,978 ",($584.63)
01 - GENERAL FUND,RESTRICTED,5850 - Fed'l School Climate,Central & Support for Schools,922 - Comm. Schools & Student Servic,2450 - CLERICAL SUBSTITUTES,$83 ,$82 ,$0 ,$0.64 
01 - GENERAL FUND,RESTRICTED,5850 - Fed'l School Climate,Central & Support for Schools,922 - Comm. Schools & Student Servic,2905 - OTHERCLASS SALARIES,$0 ,$69 ,$0 ,($69.34)
01 - GENERAL FUND,RESTRICTED,5850 - Fed'l School Climate,Central & Support for Schools,922 - Comm. Schools & Student Servic,3101 - STRS CERTIFICATED,"$21,397 ","$24,255 ","$4,303 ","($7,161.26)"
01 - GENERAL FUND,RESTRICTED,5850 - Fed'l School Climate,Central & Support for Schools,922 - Comm. Schools & Student Servic,3102 - STRS CLASSIFIED,$0 ,$84 ,$0 ,($83.64)
01 - GENERAL FUND,RESTRICTED,5850 - Fed'l School Climate,Central & Support for Schools,922 - Comm. Schools & Student Servic,3201 - PERS CERTIFICATED,$0 ,$11 ,$0 ,($10.76)
01 - GENERAL FUND,RESTRICTED,5850 - Fed'l School Climate,Central & Support for Schools,922 - Comm. Schools & Student Servic,3202 - PERS CLASSIFIED,"$53,737 ","$48,600 ","$9,326 ","($4,188.69)"
01 - GENERAL FUND,RESTRICTED,5850 - Fed'l School Climate,Central & Support for Schools,922 - Comm. Schools & Student Servic,"3301 - SOCSEC,MEDI,ALTSS CERTIFICATED",$0 ,$22 ,$0 ,($22.46)
01 - GENERAL FUND,RESTRICTED,5850 - Fed'l School Climate,Central & Support for Schools,922 - Comm. Schools & Student Servic,"3302 - SOCSEC,MEDI,ALTSS CLASSIFIED","$21,495 ","$19,527 ","$3,723 ","($1,755.07)"
01 - GENERAL FUND,RESTRICTED,5850 - Fed'l School Climate,Central & Support for Schools,922 - Comm. Schools & Student Servic,3321 - MEDICARE CERTIFICATED,"$2,466 ","$2,520 ",$432 ,($486.51)
01 - GENERAL FUND,RESTRICTED,5850 - Fed'l School Climate,Central & Support for Schools,922 - Comm. Schools & Student Servic,3322 - MEDICARE CLASSIFIED,"$5,027 ","$4,575 ",$871 ,($418.92)
01 - GENERAL FUND,RESTRICTED,5850 - Fed'l School Climate,Central & Support for Schools,922 - Comm. Schools & Student Servic,3401 - HEALTH & WELFARE CERTIFICATED,"$30,055 ","$34,299 ","$6,874 ","($11,117.38)"
01 - GENERAL FUND,RESTRICTED,5850 - Fed'l School Climate,Central & Support for Schools,922 - Comm. Schools & Student Servic,3402 - HEALTH & WELFARE CLASSIFIED,"$27,357 ","$29,103 ","$5,597 ","($7,342.76)"
01 - GENERAL FUND,RESTRICTED,5850 - Fed'l School Climate,Central & Support for Schools,922 - Comm. Schools & Student Servic,3501 - ST UNEMPLOY INS CERTIFICATED,$182 ,$187 ,$32 ,($36.99)
01 - GENERAL FUND,RESTRICTED,5850 - Fed'l School Climate,Central & Support for Schools,922 - Comm. Schools & Student Servic,3502 - ST UNEMPLOY INS CLASSIFIED,$371 ,$337 ,$64 ,($30.54)
01 - GENERAL FUND,RESTRICTED,5850 - Fed'l School Climate,Central & Support for Schools,922 - Comm. Schools & Student Servic,3601 - WORKERS COMP CERTIFICATED,"$10,630 ","$10,508 ","$1,789 ","($1,666.69)"
01 - GENERAL FUND,RESTRICTED,5850 - Fed'l School Climate,Central & Support for Schools,922 - Comm. Schools & Student Servic,3602 - WORKERS COMP CLASSIFIED,"$21,668 ","$18,931 ","$3,603 ",($866.04)
01 - GENERAL FUND,RESTRICTED,5850 - Fed'l School Climate,Central & Support for Schools,922 - Comm. Schools & Student Servic,3901 - OTHER BENEFITS CERTIFICATED,$35 ,$126 ,$24 ,($114.88)
01 - GENERAL FUND,RESTRICTED,5850 - Fed'l School Climate,Central & Support for Schools,922 - Comm. Schools & Student Servic,3902 - OTHER BENEFITS CLASSIFIED,$217 ,$801 ,$51 ,($635.55)
01 - GENERAL FUND,RESTRICTED,5850 - Fed'l School Climate,Central & Support for Schools,922 - Comm. Schools & Student Servic,4200 - BOOKS-OTHER THAN TEXTBOOKS,"$1,343 ","$1,276 ",$0 ,$67.22 
01 - GENERAL FUND,RESTRICTED,5850 - Fed'l School Climate,Central & Support for Schools,922 - Comm. Schools & Student Servic,4310 - SUPPLIES,$507 ,$7 ,$0 ,$500.66 
01 - GENERAL FUND,RESTRICTED,5850 - Fed'l School Climate,Central & Support for Schools,922 - Comm. Schools & Student Servic,4311 - MEETING REFRESHMENTS,"$2,121 ",$793 ,$307 ,"$1,021.16 "
01 - GENERAL FUND,RESTRICTED,5850 - Fed'l School Climate,Central & Support for Schools,922 - Comm. Schools & Student Servic,4391 - CARRYOVER - PRIOR YEAR,"$13,439 ",$0 ,$0 ,"$13,439.42 "
01 - GENERAL FUND,RESTRICTED,5850 - Fed'l School Climate,Central & Support for Schools,922 - Comm. Schools & Student Servic,4399 - SURPLUS,$0 ,$0 ,$0 ,$0.00 
